,rank,title,writer,year,citations,url,pdf_url,citations_url,explanation_detail,methodlist,objectlist,achivementlist
0,0.0," 知的照明システムと知的オフィス環境コンソーシアム (< シリーズ特集> 使える AI, がんばる AI [第 3 回])","三木光範 - 人工知能学会誌,  - jsai.ixsq.nii.ac.jp",2007,116.0,https://jsai.ixsq.nii.ac.jp/ej/?action=repository_action_common_download&item_id=6824&item_no=1&attribute_id=22&file_no=1,,"https://scholar.google.co.jp/scholar?cites=3995023541993440797&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,知的 照明 システム 知的 オフィス 環境 コンソーシアム (< シリーズ 特集 > AI AI [ 3 回 ])
1,1.0,LED 照明を用いた知的照明システムの実オフィスへの導入,"小野景子， 三木光範， 吉見真聡， 西本龍生… - 電気学会論文誌 A …,  - jstage.jst.go.jp",2011,28.0,https://www.jstage.jst.go.jp/article/ieejfms/131/5/131_5_321/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=15546471151321945693&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,LED 照明,,知的 照明 システム オフィス 導入
2,2.0,知的照明システムのための自律分散最適化アルゴリズム,"小野景子， 三木光範， 米澤基 - 電気学会論文誌 C (電子・情報・システム …,  - jstage.jst.go.jp",2010,33.0,https://www.jstage.jst.go.jp/article/ieejeiss/130/5/130_5_750/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=1608328683989319096&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,知的 照明 システム,自律 分散 最適 化 アルゴリズム
3,3.0,トンネル照明システムの最適点検・更新政策,"青木一也， 山本浩司， 小林潔司 - 土木学会論文集,  - jstage.jst.go.jp",2005,26.0,https://www.jstage.jst.go.jp/article/jscej/2005/805/2005_805_805_105/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=3356939496003522984&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,トンネル 照明 システム 最適 点検 更新 政策
4,4.0, オフィスワーカのプロダクティビティ改善のための環境制御法の研究—照明制御法の開発と実験的評価,"大林史明， 冨田和宏， 服部瑶子… - ヒューマン …,  - hydro.energy.kyoto-u.ac.jp",2006,45.0,http://hydro.energy.kyoto-u.ac.jp/publication/files/1023/PAPER_PDF/HIS2006_1322.pdf,,"https://scholar.google.co.jp/scholar?cites=7675342572430764730&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,オフィスワーカ プロダクティビティ 改善,環境 制御 法 研究 — 照明 制御 法 開発 実験 的 評価
5,5.0,知的照明システムのための回帰係数を用いた自律分散最適化アルゴリズム,"後藤和宏， 三木光範， 廣安知之… - … 第  回) 照明学会 全国大会 …,  - jstage.jst.go.jp",2007,23.0,https://www.jstage.jst.go.jp/article/ieijac/40/0/40_0_60/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=6446122017654516054&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,回帰 係数,知的 照明 システム,自律 分散 最適 化 アルゴリズム
6,6.0,実オフィス環境における任意の場所にユーザが要求する照度を提供する知的照明システムの構築,"三木光範， 加來史也， 廣安知之， 吉見真聡… - 電子情報通信学会 …,  - search.ieice.org",2011,44.0,https://search.ieice.org/bin/summary.php?id=j94-d_4_637,,"https://scholar.google.co.jp/scholar?cites=10523043075948703468&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,オフィス 環境,任意 場所 ユーザ 要求 照度 提供 知的 照明 システム 構築
7,7.0,オフィス内フレームを用いた知的照明システムの構築,"鈴木真理子， 三木光範， 田中慎吾， 吉見真聡… - 電子情報通信学会 …,  - search.ieice.org",2012,23.0,https://search.ieice.org/bin/summary.php?id=j95-d_3_549,,"https://scholar.google.co.jp/scholar?cites=6153419952033614078&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,オフィス 内 フレーム,,知的 照明 システム 構築
8,8.0, 有彩色光照明の生理的・心理的影響,"久保博子， 井上容子 - 照明学会誌,  - ieij.or.jp",2008,13.0,https://www.ieij.or.jp/shibu/kansai/info2008/080714symposium04.pdf,,"https://scholar.google.co.jp/scholar?cites=7136263356571737395&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,彩色 光 照明 生理 的 心理 的 影響
9,9.0, 照明の色温度と照度とが室内環境評価に及ぼす効果,高橋啓介 -  - aska-r.repo.nii.ac.jp,2006,17.0,https://aska-r.repo.nii.ac.jp/?action=repository_action_common_download&item_id=7299&item_no=1&attribute_id=12&file_no=1,,"https://scholar.google.co.jp/scholar?cites=14829743068457386488&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,照明 色 温度 照度 室内 環境 評価 効果
10,10.0,HEMS による家庭用冷暖房・照明エネルギーの削減効果の検証,"石田建一， 佐藤誠 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2005,12.0,https://www.jstage.jst.go.jp/article/aije/70/595/70_KJ00004359280/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=3772898833237272778&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,HEMS,,家庭 用 冷暖房 照明 エネルギー 削減 効果 検証
11,11.0,オフィスビルの省エネルギーとプロダクティビティ照明,"下田宏， 大林史明 - 電気学会論文誌 C (電子・情報・システム部門誌),  - jstage.jst.go.jp",2008,9.0,https://www.jstage.jst.go.jp/article/ieejeiss/128/1/128_1_2/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=165896375447052390&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,オフィス ビル 省エネルギー プロダクティビティ 照明
12,12.0,知的照明システムにおける照度と色温度の個別分散制御,"芦辺麻衣子， 三木光範， 廣安知之 - 情報処理学会研究報告数理 …,  - ipsj.ixsq.nii.ac.jp",2008,10.0,https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=32796&item_no=1&page_id=13&block_id=8,,"https://scholar.google.co.jp/scholar?cites=8394442924806768452&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,知的 照明 システム,照度 色 温度 個別 分散 制御
13,13.0,All sky model-l を導入した昼光照明計算プログラムの性能検証,"菊池卓郎， 井川憲男 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2008,9.0,https://www.jstage.jst.go.jp/article/aije/73/629/73_629_865/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=17327272071736252141&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,All sky model - l 導入 昼 光 照明 計算 プログラム 性能 検証
14,14.0,照明設計ツールとしての輝度-明るさ変換システムの構築,"藤野雅史， 中村芳樹， 井上修作， 岩井彌 - 日本建築学会環境系論文集,  - jstage.jst.go.jp",2005,9.0,https://www.jstage.jst.go.jp/article/aije/70/597/70_KJ00004359334/_article/-char/ja/,,"https://scholar.google.co.jp/scholar?cites=8033596793635798073&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",,,,照明 設計 ツール 輝度 - さ 変換 システム 構築
15,15.0, LED 照明の動向と展開,"別所誠， 清水恵一 - 東芝レビュー,  - toshiba.co.jp",2010,7.0,https://www.toshiba.co.jp/tech/review/2010/07/65_07pdf/a02.pdf,,"https://scholar.google.co.jp/scholar?cites=2116214396683005136&as_sdt=2005&sciodt=0,5&hl=ja&oe=SJS",it is pdf or has not url,,,LED 照明 動向 展開
